ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
216608_at	0.5030054	2.05e-01	-1.2697686	-5.20584	-0.165631	DKFZP434A062	uncharacterized LOC26102
207076_s_at	0.5031635	2.05e-01	-1.2695023	-5.20615	-0.22430272	ASS1	argininosuccinate synthase 1
219349_s_at	0.5031635	2.05e-01	1.2694606	-5.2062	0.12100161	EXOC2	exocyst complex component 2
220521_s_at	0.5031977	2.05e-01	-1.2693579	-5.20632	-0.21376608	ATG16L1	autophagy related 16 like 1
212875_s_at	0.5032798	2.05e-01	-1.2692004	-5.20651	-0.11122136	C2CD2	C2 calcium dependent domain containing 2
217262_s_at	0.5033124	2.05e-01	1.2690728	-5.20666	0.23938885	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
220453_at	0.5033124	2.05e-01	-1.2690361	-5.2067	-0.10950144	PQLC2	PQ loop repeat containing 2
216804_s_at	0.5034961	2.06e-01	-1.2687622	-5.20703	-0.23869217	PDLIM5	PDZ and LIM domain 5
219018_s_at	0.503618	2.06e-01	1.2685591	-5.20727	0.16989282	CCDC85C	coiled-coil domain containing 85C
221441_at	0.5036399	2.06e-01	-1.2684459	-5.2074	-0.27901421	GSC2	goosecoid homeobox 2
219988_s_at	0.5036399	2.06e-01	-1.2684071	-5.20745	-0.08390353	RNF220	ring finger protein 220
200723_s_at	0.5037087	2.06e-01	-1.2682649	-5.20762	-0.13338735	CAPRIN1	cell cycle associated protein 1
213279_at	0.5037756	2.06e-01	-1.2681249	-5.20778	-0.07281525	DHRS1	dehydrogenase/reductase 1
214829_at	0.5038864	2.06e-01	-1.2679346	-5.20801	-0.28556297	AASS	aminoadipate-semialdehyde synthase
222098_s_at	0.5039527	2.06e-01	-1.2677244	-5.20825	-0.18883276		
212327_at	0.5039527	2.06e-01	1.2676744	-5.20831	0.16350766	LIMCH1	LIM and calponin homology domains 1
219324_at	0.5039527	2.06e-01	-1.2676684	-5.20832	-0.16657952	NOL12	nucleolar protein 12
212532_s_at	0.5042707	2.06e-01	-1.2672408	-5.20883	-0.07988939	LSM12	LSM12 homolog
220230_s_at	0.5042734	2.06e-01	-1.2671184	-5.20897	-0.14307296	CYB5R2	cytochrome b5 reductase 2
213699_s_at	0.5042734	2.06e-01	1.2671109	-5.20898	0.08058691	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
207524_at	0.5043538	2.06e-01	1.2669555	-5.20916	0.06798922	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7
219923_at	0.504648	2.06e-01	1.2665553	-5.20964	0.09454277	TRIM45	tripartite motif containing 45
214188_at	0.5046972	2.06e-01	1.2664356	-5.20978	0.27834358		
204160_s_at	0.5046985	2.06e-01	1.2663708	-5.20985	0.15262857	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
201094_at	0.5048317	2.06e-01	1.2661549	-5.21011	0.07814135	RPS29	ribosomal protein S29
210082_at	0.5050842	2.07e-01	-1.2656632	-5.21069	-0.20216432	ABCA4	ATP binding cassette subfamily A member 4
207673_at	0.5050842	2.07e-01	-1.2656466	-5.21071	-0.19919031	NPHS1	NPHS1, nephrin
218240_at	0.5050842	2.07e-01	-1.26562	-5.21074	-0.09539235	NKIRAS2	NFKB inhibitor interacting Ras like 2
207865_s_at	0.5050842	2.07e-01	-1.2656125	-5.21075	-0.14463927	BMP8B	bone morphogenetic protein 8b
212987_at	0.5052273	2.07e-01	1.2652629	-5.21116	0.08152826	FBXO9	F-box protein 9
